appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
40981	5600	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
15893	5604	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.156	192.168.1.134	
40981	5604	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5606	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16083	5608	UPnP	Network.Service: UPnP	elevated	192.168.1.134	239.255.255.250	
40981	5610	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16083	5601	UPnP	Network.Service: UPnP	elevated	192.168.1.134	239.255.255.250	
15893	5603	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.156	192.168.1.134	
40981	5603	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
11767	5605	Stream.Media	Video/Audio: Stream.Media	elevated	192.168.1.156	192.168.1.134	
40981	5605	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5607	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5609	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
15895	5611	SSL	Network.Service: SSL	elevated	192.168.1.156	192.168.1.134	
40981	5611	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
15895	5613	SSL	Network.Service: SSL	elevated	192.168.1.156	192.168.1.134	
40981	5613	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5615	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
15511	5612	RDP	Remote.Access: RDP	high	192.168.1.156	192.168.1.134	
40981	5612	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16265	5614	Kerberos	Network.Service: Kerberos	elevated	192.168.1.156	192.168.1.134	
40981	5614	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5616	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5618	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16083	5620	UPnP	Network.Service: UPnP	elevated	192.168.1.134	239.255.255.250	
40981	5622	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5624	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5626	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16932	5628	JavaRMI_Stream	General.Interest: JavaRMI_Stream	elevated	192.168.1.156	192.168.1.134	
40981	5628	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5630	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5632	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16663	5634	CORBA	Network.Service: CORBA	elevated	192.168.1.156	192.168.1.134	
40981	5634	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5636	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
15893	5617	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.156	192.168.1.134	
40981	5617	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
17011	5619	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.1.134	224.0.0.251	
40981	5621	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5623	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5625	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5627	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
16083	5629	UPnP	Network.Service: UPnP	elevated	192.168.1.134	239.255.255.250	
40981	5631	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
40981	5633	IEC.60870.5.104_Exception.Invalid.Protocol.Type	Operational.Technology: IEC.60870.5.104_Exception.Invalid.Protocol.Type	elevated	192.168.1.156	192.168.1.134	
33118	5635	IEC.60870.5.104_Control.Functions.TESTFR.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.TESTFR.ACT	elevated	192.168.1.156	192.168.1.134	
33118	5635	IEC.60870.5.104_Control.Functions.TESTFR.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.TESTFR.ACT	elevated	192.168.1.156	192.168.1.134	
33119	5635	IEC.60870.5.104_Control.Functions.TESTFR.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.TESTFR.CON	elevated	192.168.1.156	192.168.1.134	
33119	5635	IEC.60870.5.104_Control.Functions.TESTFR.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.TESTFR.CON	elevated	192.168.1.156	192.168.1.134	
33114	5635	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.156	192.168.1.134	
33114	5635	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.156	192.168.1.134	
33115	5635	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.156	192.168.1.134	
33115	5635	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.156	192.168.1.134	
10002858	5635	IEC.Devices	OT: IEC.Devices	low	192.168.1.156	192.168.1.134	
10002858	5635	IEC.Devices	OT: IEC.Devices	low	192.168.1.156	192.168.1.134	
33120	5635	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.1.156	192.168.1.134	
41215	5635	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.1.156	192.168.1.134	
33125	5635	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.1.156	192.168.1.134	
33120	5635	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.1.156	192.168.1.134	
41214	5635	IEC.60870.5.104_Information.Transfer.M.EI.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.EI.NA.1	elevated	192.168.1.156	192.168.1.134	
33125	5635	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.1.156	192.168.1.134	
33120	5635	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.1.156	192.168.1.134	
41215	5635	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.1.156	192.168.1.134	
33125	5635	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.1.156	192.168.1.134	
33120	5635	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.1.156	192.168.1.134	
40860	5635	IEC.60870.5.104_Information.Transfer.M.SP.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.SP.NA.1	elevated	192.168.1.156	192.168.1.134	
33124	5635	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.1.156	192.168.1.134	
33120	5635	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.1.156	192.168.1.134	
41215	5635	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.1.156	192.168.1.134	
33125	5635	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.1.156	192.168.1.134	
16083	5637	UPnP	Network.Service: UPnP	elevated	192.168.1.134	239.255.255.250	
